,Dialogue
221,"I'm just gonna deal with it.
"
222,"I gotta get out of here!
"
223,"I don't care what you guys say,
"
224,"something's bothering her.
"
225,"You know, I think I was 16.
"
226,"Please, just a little bit off the back.
"
227,"I'm still on ""no.""
"
228,"Morning.
"
229,"Could you close your eyes for a sec?
"
230,"No, no, no. I'm not
"
231,"falling for that again.
"
232,"What's going on?
"
233,"I sort of did a stupid
"
234,"thing last night.
"
235,"What stupid thing did you do?
"
236,"Why don't you just go get dressed...
"
237,"...then you'll be on your way.
"
238,"Bye-bye.
"
239,"How did this happen?
"
240,"I kind of ran into him last night.
"
241,"- Where?
"
242,"- At his apartment.
"
243,"Is this juice?
"
244,"And the fact that you dumped him
"
245,"because he hit on Phoebe?
"
246,"Oh, God, I know.
"
247,"I'm pathetic, I'm a loser.
"
248,"Honey, you're not pathetic.
"
249,"You're just sad.
"
250,"People do stupid things
"
251,"when they're upset.
"
252,"My God, if I had a nickel
"
253,"for every guy I wish I hadn't
"
254,"But this is about
"
255,"your horrible mistake.
"
256,"Sorry we're late.
"
257,"We were...
"
258,"Well, there was touching.
"
259,"Hey, Ross!
"
260,"What a...
"
261,"What are you doing here?
"
262,"I do Raquel!
"
263,"So he's back?
"
264,"Yeah, he's back.
"
265,"Is that a problem?
"
266,"No, not a problem.
"
267,"Good. Glad it's not a problem.
"
268,"You're gonna have to not touch my ass.
"
269,"Despite the yummy bagels
"
270,"and palpable tension...
"
271,"...my pants need to be altered.
"
272,"When you see Frankie,
"
273,"tell him Joey Tribbiani says hello.
"
274,"He'll know what it means.
"
275,"You sure he'll crack that code?
"
276,"It's funny. The last time Paolo
"
277,"was here, my hair was so much cuter.
"
278,"All right.
"
279,"But you have to promise that you
"
280,"will not be all controlly and bossy...
"
281,"...and all Monica about it.
"
282,"I promise.
"
283,"All right, let's see.
"
284,"Now, some of you are gonna get cut
"
285,"and some of you aren't.
"
286,"But I promise, none of you
"
287,"will feel a thing.
"
288,"- That's it. I quit.
"
289,"- What? I didn't say anything!
"
290,"But this isn't the face of
"
291,"a person who trusts a person.
"
292,"This is the face of
"
293,"a person who, you know...
"
294,"...doesn't trust a person.
"
295,"I'm sorry. I'm sorry.
"
296,"It's just a little shorter
"
297,"than what we had discussed.
"
298,"Would you relax?
"
299,"I know what I am doing.
"
300,"This is how he wears it.
"
301,"How who wears it?
"
302,"Demi Moore.
"
