,Dialogue
7665,"Shut up! I wasn't like that at all.
"
7666,"What about what I said about
"
7667,"the apartment pants. How dumb was l?
"
7668,"-Were you this cute in high school?
"
7669,"-Oh, stop.
"
7670,"-No, you stop.
"
7671,"-No, you stop.
"
7672,"Why don't I sit here
"
7673,"and then you'll both stop it.
"
7674,"Okay, so what do you want to do?
"
7675,"Let's do something crazy.
"
7676,"I know, let's rest and drink
"
7677,"lots of fluids.
"
7678,"Okay, I'll rest.
"
7679,"But if I'm going to bed,
"
7680,"then you're coming with me.
"
7681,"See, that would be impossible to
"
7682,"resist if you weren't all. . .
"
7683,". . .drippy here.
"
7684,"Are you saying that you don't
"
7685,"want to get with this?
"
7686,"I don't think you should say that
"
7687,"even when you're healthy.
"
7688,"Come on.
"
7689,"Don't take this personally.
"
7690,"I just can't have sex
"
7691,"with a sick person.
"
7692,"I'm with you. I can't have sex with
"
7693,"a sick person either. Disgusting!
"
7694,"But I'm not sick!
"
7695,"Let me prove it to you.
"
7696,"We are two healthy people
"
7697,"in the prime of life.
"
7698,"See, that's the thing, I would like
"
7699,"to stay in the ""prime of lime. ""
"
7700,"What's up?
"
7701,"I think there's something
"
7702,"you should know.
"
7703,"It better not be about
"
7704,"the apartment pants.
"
7705,"I just pitched the idea to my boss
"
7706,"at Ralph Lauren and she loved it.
"
7707,"No. It's just, I was. . . .
"
7708,"I was with Ross and Jill
"
7709,"after you left. . .
"
7710,". . .and I'm pretty sure I saw
"
7711,"a little spark between them.
"
7712,"-What?
"
7713,"-I mean, it's probably nothing.
"
7714,"But I wanted to warn you
"
7715,"that there might be something.
"
7716,"-With Ross and Jill?
"
7717,"-Yeah.
"
7718,"With Ross and my sister?
"
7719,"With my sister Jill
"
7720,"and my ex-boyfriend Ross?
"
7721,"-Oh, there is no way.
"
7722,"-Okay, then.
"
7723,"Oh, my God! I cannot believe that!
"
7724,"I don't like it when he dates anyone,
"
7725,"but my sister?
"
7726,"Isn't that incest or something?
"
7727,"And they're gonna have sex.
"
7728,"Oh, no! What if he marries her too?
"
7729,"This is just terrible.
"
7730,"This is just terrible.
"
7731,"And I can't stop it.
"
7732,"I don't own Ross.
"
7733,"And Jill should be able to do
"
7734,"what she wants to do.
"
7735,"Oh, my God, I can't believe Ross is
"
7736,"marrying my little sister.
"
7737,"This is the worst thing that
"
7738,"could've ever happened to me.
"
7739,"But great news about
"
7740,"the apartment pants, huh?
"
7741,"That'll be $3.85.
"
7742,"What? Yesterday you said
"
7743,"I was too pretty to pay.
"
7744,"It's just, I can't,
"
7745,"because my manager said that l--
"
7746,"Happy birthday to you
"
7747,"Happy birthday to you
"
7748,"-Happy birthday, dear Annie--
"
7749,"-Amy!
"
7750,"--Amy
"
7751,"Happy birthday to you
"
7752,"That's weird,
"
7753,"today's my birthday too.
"
7754,"Not in here it isn't.
"
7755,"Sorry I'm late. What's up?
"
7756,"I just wanted to see if there were
"
7757,"any leads on the old job front.
"
7758,"No. But I walked past three sales
"
7759,"and didn't go in.
"
7760,"How strong am l?
"
7761,"That is great.
"
7762,"You know who doesn't have to
"
7763,"job-hunt? Ross.
"
7764,"-He works at the university.
"
7765,"-Yeah?
"
7766,"So you guys talked? So you get along?
"
7767,"So you're gonna go out?
"
7768,"Me go out with Ross? No.
"
7769,"God, no.
"
7770,"What would make you think that?
"
7771,"Phoebe. . .
"
7772,". . .said she thought she saw something
"
7773,"between you guys.
"
7774,"I mean, he's nice.
"
7775,"He's the kind you're friends with,
"
7776,"but not the kind you date.
"
7777,"He's the kind you date,
"
7778,"because you did. But me?
"
7779,"Not so much.
"
7780,"Oh, not so much? What do you mean?
"
7781,"ls there something wrong with Ross?
"
7782,"No, no, no. He's just. . . .
"
7783,"I don't know.
"
7784,"You know, he's just a little bookish.
"
7785,"Are you saying he's a geek?
"
7786,"You think so too?
"
7787,"No. Ross is not a geek.
"
7788,"Then let's just say
"
7789,"he's not my type.
"
7790,"Handsome is not your type?
"
7791,"Smart, kind, good kisser.
"
7792,"What, those things aren't
"
7793,"on your list?
"
7794,"Ross is great.
"
7795,"You'd be lucky to be with him.
"
7796,"If it means that much,
"
7797,"then I'll ask him out.
"
7798,"Oh, no. That's not what I meant.
"
7799,"You know what? You're right.
"
7800,"He has been really nice to me.
"
7801,"Yeah, but he's not your type.
"
7802,"But maybe that's good.
"
7803,"I'm doing all these different things.
"
7804,"Maybe I should just try
"
7805,"dating a geek too.
"
7806,"Yeah, but you don't want
"
7807,"to try too much too fast.
"
7808,"You remember what happened
"
7809,"to the little girl who. . .
"
7810,". . .tried too much too fast, don't you?
"
7811,"What?
"
7812,"She died, Jill.
"
7813,"Chandler!
"
7814,"What is it, honey?
"
7815,"You need some tea? Some soup?
"
7816,"Calling Dr. Big.
"
7817,"Dr. Big to the bed.
"
7818,"Geez, honey,
"
7819,"I thought you were asleep.
"
7820,"How could I be asleep knowing
"
7821,"that you were in the next room?
"
7822,"I was asleep.
"
7823,"No, honey. You know what's sexy?
"
7824,"Layers.
"
7825,"Layers are sexy.
"
7826,"And blankets are sexy.
"
7827,"And hot water bottles are sexy.
"
7828,"Get into bed.
"
7829,"I want to prove I'm not sick.
"
7830,"I want to make you feel
"
7831,"as good as I feel.
"
7832,"Would you please get some rest?
"
7833,"I'm fine.
"
7834,"Happy birthday to you
"
7835,"-You're paying for that.
"
7836,"-No, it's her birthday.
"
7837,"You've sung ""Happy Birthday""
"
7838,"to 20 women today.
"
7839,"You are no longer authorized to
"
7840,"distribute birthday muffins.
"
7841,"Damn it!
"
7842,"Did you tell your sister
"
7843,"to ask me out?
"
7844,"-Well, yeah.
"
7845,"-Oh, wow! I mean, wow.
"
7846,"I think she's cute, but. . .
"
7847,". . .I never would've thought of
"
7848,"going out with her. Never!
"
7849,"Really?
"
7850,"But after your okay,
"
7851,"I figured, ""Why not?""
"
7852,"Oh, so not really ""never. ""
"
7853,"I have to say you are
"
7854,"a much bigger person than I am.
"
7855,"I mean, after all we've been through.
"
7856,"I wish I had a brother
"
7857,"to reciprocate.
"
7858,"If you ever date Monica,
"
7859,"you have my blessing.
"
7860,"And mine.
"
7861,"Chandler?
"
7862,"I think I'm sick.
"
7863,"Really?
"
7864,"Struck down in the ""pribe of libe. ""
"
7865,"Okay, fine, I admit it.
"
7866,"I feel terrible.
"
7867,"Will you please rub this on my chest?
"
7868,"No, no, no.
"
7869,"You are not getting me this way.
"
7870,"Come on, I really need your help here.
"
7871,"-Fine, I'll rub it on myself.
"
7872,"-Okay.
"
7873,"So you're just kind of
"
7874,"rubbing it on yourself?
"
7875,"-Yeah.
"
7876,"-It's nice.
"
7877,"You kidding me?
"
7878,"ls this turning you on?
"
7879,"Yes.
"
7880,"Is it the rubbing or the smell?
"
7881,"It's all very, very good.
"
7882,"So, you want to go. . .
"
7883,". . .mix it up?
"
7884,"-Not now, I'm sick.
"
7885,"-Oh, come on, you big faker!
"
7886,"What about never sleeping
"
7887,"with sick people?
"
7888,"Well, that was before
"
7889,"all the vaporizing action.
"
7890,"Okay, if you really
"
7891,"want to have sex.
"
7892,"Worked like a charm.
"
7893,"Why are you here?
"
7894,"This is where Ross and I are meeting
"
7895,"for our date. So, what do you think?
"
7896,"I don't like it.
"
7897,"-Really?
"
7898,"-It's kind of slutty.
"
7899,"It's yours.
"
7900,"Yeah, well, I'm a slut.
"
7901,"Me too.
"
7902,"Hi, Jill.
"
7903,"Hi. . . .
"
7904,"Rachel.
"
7905,"You're not at home,
"
7906,"you're right here.
"
7907,"Yeah, I know.
"
7908,"And I bet you thought it would
"
7909,"be weird. But it's not.
"
7910,"Okay.
"
7911,"So, well, I'll. . . .
"
7912,"I'll have her home by midnight.
"
7913,"Why aren't you home yet?
"
7914,"Is someone there?
"
7915,"Oh, yeah, it's me. Sorry.
"
7916,"What are you doing here?
"
7917,"I'm just looking out your window. . .
"
7918,". . .at the view.
"
7919,"What are you guys doing?
"
7920,"We got some Vapor Rub in some places.
"
7921,"He brought her back to his apartment.
"
7922,"Who?
"
7923,"Is that your sister?
"
7924,"She is a slut!
"
7925,"Ross is on a date with your sister.
"
7926,"How weird is that?
"
7927,"Oh, my God, he's taking off
"
7928,"her clothes!
"
7929,"He's taking off her coat.
"
7930,"Oh, this is just terrible.
"
7931,"Oh, no, it's not. It's a first date.
"
7932,"I'm sure that nothing is gonna. . . .
"
7933,"He's gonna get some.
"
7934,"Of the glare. . .
"
7935,". . .from the streetlight
"
7936,"out of his apartment.
"
7937,"You know, so he's closed
"
7938,"the drapes there. . .
"
7939,". . .so he can have a nice, pleasant. . .
"
7940,". . .conversation with
"
7941,"your little sister.
"
7942,"Well, I'm off to bed.
"
7943,"<font color=""#ffff00"" size=14>www.tvsubtitles.net
"
7944,"Oh! Hey, Rach.
"
7945,"I was just coming over here to. . . .
"
7946,"Wait, I don't have to lie to you,
"
7947,"you don't live here anymore.
"
7948,"I'm eating their food.
"
7949,"You?
"
7950,"Ross is on a date with my sister.
"
7951,"They shut the drapes two hours ago.
"
7952,"I didn't know we could
"
7953,"date your sister.
"
7954,"We know you steal our food.
"
7955,"I'm good.
"
7956,"Drapes still closed?
"
7957,"Yeah. That perverted couple
"
7958,"two doors over should've shut theirs.
"
7959,"-Is that a swing?
"
7960,"-Oh, don't even ask.
"
7961,"I can't believe Ross
"
7962,"is with her sister.
"
7963,"When Chandler kissed my sister,
"
7964,"I was mad for 1 0 years.
"
7965,"-That was five years ago.
"
7966,"-You got five years left.
"
7967,"-Joey--
"
7968,"-Want to make it six?
"
7969,"The One Where Chandler Can't Cry
"
7970,"English Subtitles by
"
7971,"Gelula/SDI
"
7972,"Oh, Ross, hey. Hi, how are you?
"
7973,"There you are.
"
7974,"Can I get a cup of coffee?
"
7975,"So how was your big date last night?
"
7976,"It was okay. It was fun.
"
7977,"It was fun?
"
7978,"Great.
"
7979,"So did you guys hit it off?
"
7980,"I guess so.
"
7981,"So did anything happen?
"
7982,"Rumor has it you guys shut the drapes.
"
7983,"No. No. Nothing happened.
"
7984,"I shut the drapes to show her
"
7985,"slides of my favorite fossils.
"
7986,"Oh, slides!
"
7987,"So really nothing happened.
"
7988,"Something could've happened.
"
7989,"She really dug my slides.
"
7990,"And she was definitely
"
7991,"giving me the vibe.
"
7992,"Was it the ""Please don't show me
"
7993,"another picture of a trilobite"" vibe?
"
7994,"Anyway. . . .
"
7995,"If she wasn't into me,
"
7996,"why would she ask me out again?
"
7997,"-She asked you out again?
"
7998,"-Yeah.
"
7999,"Tomorrow night.
"
8000,"Valentine's Day. The most romantic
"
8001,"day of the year.
"
8002,"Who knows what could happen.
"
8003,"I might not be shutting my drapes
"
8004,"to show her my slides.
"
8005,"Okay! I got it, I got it.
"
8006,"I can't go with the ""you
"
8007,"and my sister"" thing.
"
8008,"It's just too weird, all right?
"
8009,"I imagine the two of you together.
"
8010,"It just freaks me out.
"
8011,"I can't do it!
"
8012,"It's okay.
"
8013,"It's too weird for you.
"
8014,"I won't see her again.
"
8015,"Thank you.
"
8016,"After tomorrow night.
"
8017,"No! I can't do it.
"
8018,"It's gonna freak me out!
"
8019,"Okay, okay, okay!
"
8020,"Okay. I'll tell her tonight
"
8021,"I can't see her anymore.
"
8022,"Ross, thanks.
"
8023,"Want me to call her now?
"
8024,"Oh, no. No, no, no.
"
8025,"No. Come on, I mean, that's crazy.
"
8026,"So, what's going on with you?
"
8027,"Well. . . .
"
8028,"I may teach another class
"
8029,"this semester.
"
8030,"Do it now. Call her now.
"
8031,"-This is my favorite part.
"
8032,"-Me too.
"
8033,"You know what's sadder
"
8034,"than this? Bambi.
"
8035,"I cried for three days
"
8036,"with that movie. No, two.
"
8037,"The third day my mom killed herself,
"
8038,"so I was partly crying for that.
"
8039,"Well, that I can see crying
"
8040,"over, but Bambi is a cartoon.
"
8041,"You didn't cry
"
8042,"when Bambi's mother died?
"
8043,"Yes, it was very sad when the guy
"
8044,"stopped drawing the deer.
"
8045,"It's okay to cry. You don't
"
8046,"have to be macho all the time.
"
8047,"I'm not macho.
"
8048,"Yeah, you're right.
"
8049,"I don't know what I was thinking.
"
8050,"I just never really cried.
"
8051,"I'm not a crying kind of guy.
"
8052,"Come on, there's gotta be something
"
8053,"that gets you choked up. Like. . . .
"
8054,"What if you saw a three-legged puppy?
"
8055,"I'd be sad, sure.
"
8056,"But I wouldn't cry.
"
8057,"What if the puppy said,
"
8058,"""Help me, Chandler.
"
8059,"All the other puppies pick on me. ""
"
8060,"Cry? I just found a talking puppy.
"
8061,"I'm rich!
"
8062,"I've got it. I have got it.
"
8063,"Pictures from your childhood.
"
8064,"This'll get you going good.
"
8065,"Oh, what's going on there?
"
8066,"Parents' Day. First grade.
"
8067,"That's me with the janitor, Martin.
"
8068,"-Where are your parents?
"
8069,"-They didn't want to come.
"
8070,"-Chandler!
"
8071,"-Poor thing.
"
8072,"That story doesn't make you cry?
"
8073,"No. Look, I don't cry.
"
8074,"It's not a big deal, okay?
"
8075,"No! It's not okay!
"
8076,"It's not okay at all!
"
8077,"You're dead inside!
"
8078,"-Excuse me?
"
8079,"-Yeah?
"
8080,"-Are you Phoebe Buffay?
"
8081,"-Yeah.
"
8082,"Can I get your autograph?
"
8083,"I'm your biggest fan.
"
8084,"My biggest fan?
"
8085,"I've always wanted to meet you.
"
8086,"Sure. Yeah.
"
8087,"Wow. Wow, thanks a lot.
"
8088,"I just want to say
"
8089,"I think you're really talented.
"
8090,"You're just saying that
"
8091,"because you're my biggest fan.
"
8092,"Take good care of that guy.
"
8093,"He's a fan.
"
8094,"Bye.
"
8095,"So you saw me
"
8096,"on Days of Our Lives, huh?
"
8097,"You want me to do a little
"
8098,"Doctor Drake Ramoray for you?
"
8099,"I have no idea
"
8100,"what you're talking about.
"
8101,"But I just got Phoebe Buffay's
"
8102,"autograph.
"
8103,"Oh. You're Phoebe's fan.
"
8104,"Oh, yeah. I've seen all her movies.
"
8105,"Movies?
"
8106,"That was Phoebe Buffay, the porn star.
"
8107,"I don't think so.
"
8108,"No, it was. She was in
"
8109,"Sex Toy Story Two...
"
8110,"...Lawrence of a Labia.
"
8111,"And I got her autograph.
"
8112,"The guys at the comic book store
"
8113,"won't believe this.
"
8114,"Gunther?
"
8115,"Don't let that guy in here anymore.
"
8116,"He said Phoebe's a porn star.
"
8117,"Well, I wouldn't call her a star,
"
8118,"but she's really good.
"
8119,"You should check out
"
8120,"lnspect Her Gadget.
"
8121,"-Hey.
"
8122,"-Hey.
"
8123,"Ross just totally blew me off,
"
8124,"and he didn't even tell me why.
"
8125,"Oh, well.
"
8126,"The best thing to do to get over a guy
"
8127,"is to start dating someone else.
"
8128,"Oh! There is this great guy you
"
8129,"will just love at work, named Bob.
"
8130,"He's a real up-and-comer
"
8131,"in Human Resources.
"
8132,"Thanks, but I'm not gonna date
"
8133,"some random guy from your work.
"
8134,"Not random. Bob.
"
8135,"It's probably because I'm not
"
8136,"mature enough or smart enough. . . .
"
8137,"Maybe he doesn't
"
8138,"like the way I dress.
"
8139,"No, that can't be it.
"
8140,"It's gotta be the smart thing.
"
8141,"I'm so stupid. I'm just this, like,
"
8142,"incredibly pretty, stupid girl.
"
8143,"No, honey.
"
8144,"Okay.
"
8145,"Okay. You want to know why Ross
"
8146,"canceled the date?
"
8147,"Because I asked him to.
"
8148,"You asked him to?
"
8149,"-Why?
"
8150,"-Because you are my sister. . .
"
8151,". . .and Ross and I have
"
8152,"this huge history.
"
8153,"You want to go out with Ross?
"
8154,"No.
"
8155,"You don't want him,
"
8156,"but you don't want me to?
"
8157,"You know, Bob in Human Resources. . . .
"
8158,"I can't believe you did this!
"
8159,"You had me doubting how smart I was!
"
8160,"You had me doubting my fashion sense!
"
8161,"It's not that big a deal. Just
"
8162,"don't date Ross. There's other--
"
8163,"You have no right
"
8164,"to tell me what to do.
"
8165,"I'm not telling you what to do.
"
8166,"I am telling you what not to do!
"
8167,"Why are you so jealous of me?
"
8168,"This is not about me being jealous.
"
8169,"It's about you being a brat,
"
8170,"wanting what you can't have.
"
8171,"Can't have?
"
8172,"Excuse me. The only thing
"
8173,"I can't have is dairy!
"
8174,"Well, you just blew your chances
"
8175,"at dating Bob!
"
8176,"-Who?
"
8177,"-With Human Resources!
"
8178,"Jealous of her? Who does she think
"
8179,"she is, Princess Caroline?
"
8180,"-You're jealous of Princess Caroline?
"
8181,"-Do I have my own castle?
"
8182,"Hey.
"
8183,"-Phoebe's not here, is she?
"
8184,"-No.
"
8185,"Did you get a movie?
"
8186,"Yeah. Yeah.
"
8187,"But I don't think it's the kind
"
8188,"you're gonna like.
"
8189,"Not more movies that'll have us
"
8190,"reaching for the tissues all night?
"
8191,"Sort of.
"
8192,"What's going on?
"
8193,"Phoebe's a porn star!
"
8194,"-What?
"
8195,"-Yeah!
"
8196,"What are you talking about?
"
8197,"""Phoebe Buffay in
"
8198,"Buffay The Vampire Layer. ""
"
8199,"That's Phoebe.
"
8200,"Where did you get that?
"
8201,"At the adult video place on Bleecker.
"
8202,"And I saw Joey was about to go in,
"
8203,"so I ran in ahead of him. . .
"
8204,". . .to surprise him.
"
8205,"Then I pretended that I didn't
"
8206,"know he was in there.
"
8207,"Wow. I mean,
"
8208,"I just can't believe this.
"
8209,"I mean, you think you know someone.
"
8210,"Even Phoebe, who's always been
"
8211,"somewhat of a question mark.
"
8212,"This is so bizarre.
"
8213,"I guess it makes sense.
"
8214,"She had such a terrible childhood.
"
8215,"I had a bad childhood
"
8216,"and I don't do porn.
"
8217,"Yes, but you're dead inside.
"
8218,"I'd better take that back.
"
8219,"What, why? Why?
"
8220,"We can't watch it.
"
8221,"It's Phoebe.
"
8222,"We shouldn't watch this.
"
8223,"Absolutely not. That goes back.
"
8224,"-Maybe a bit.
"
8225,"-The first half?
"
8226,"This is wrong, you guys!
"
8227,"Phoebe's our friend!
"
8228,"-I'm not gonna watch it.
"
8229,"-Yeah!
"
8230,"Good for you, Joe.
"
8231,"I thought I'd find you here,
"
8232,"Nosferatool.
"
8233,"Are you going to plunge
"
8234,"your stake into my dark places?
"
8235,"Actually, I was kind of hoping it
"
8236,"would be the other way around.
"
8237,"What's that on her ankle?
"
8238,"Her ankle is what you're watching?
"
8239,"Well, it's hard to tell.
"
8240,"God, if she would just stop moving.
"
8241,"She's just doing her job.
"
8242,"You sick bastards!
"
8243,"It's a tattoo.
"
8244,"That's weird. Phoebe doesn't--
"
8245,"Wait, that's Ursula!
"
8246,"That's not Phoebe! That is Ursula!
"
8247,"Wait, wait! I can watch that!
"
8248,"Rewind it! Rewind it!
"
8249,"Hey.
"
8250,"What's up? Oh, my God!
"
8251,"What am I doing?!
"
8252,"Hey, sweetie.
"
8253,"""Chicken Soup for the Soul""?
"
8254,"There's no back to this couch.
"
8255,"You hate this kind of stuff.
"
8256,"I figured I'd give it a shot.
"
8257,"One of the stories may make me cry,
"
8258,"then you won't think I'm dead inside.
"
8259,"Oh, that's so sweet.
"
8260,"I don't care if you can't cry.
"
8261,"I love you.
"
8262,"Oh, that makes me feel so warm
"
8263,"in my hollow tin chest.
"
8264,"Stop it.
"
8265,"Seriously. We get married, I'm up
"
8266,"at the altar and I'm like this:
"
8267,"I won't care.
"
8268,"I know that you'll be feeling it
"
8269,"all in here.
"
8270,"-Yeah?
"
8271,"-Yeah.
"
8272,"And if we have a baby one day. . .
"
8273,". . .and the doctor hands it to you
"
8274,"in the delivery room. . .
"
8275,". . .and you don't cry, so what?
"
8276,"If we take him to college
"
8277,"and go home. . .
"
8278,". . .and we see his empty room
"
8279,"for the first time. . .
"
8280,". . .and you got nothing?
"
8281,"It won't matter to me.
"
8282,"Okay.
"
8283,"I won't worry
"
8284,"about this anymore then.
"
8285,"And then, you know, if I die. . .
"
8286,". . .from a long illness. . .
"
8287,". . .and you're writing my eulogy. . .
"
8288,". . .and you open the desk drawer
"
8289,"and find a note from me that says:
"
8290,"""I will always be with you"" . . .
"
8291,". . .and you still can't shed
"
8292,"one tiny tear?
"
8293,"I know you'll be
"
8294,"crying a river inside.
"
8295,"-I love you.
"
8296,"-What is wrong with you?!
"
8297,"-What?
"
8298,"-What?
"
8299,"You can't shed a tear
"
8300,"for your dead wife?
"
8301,"I left you a note from the beyond!
"
8302,"-So you didn't mean any of that?
"
8303,"-No, you robot!
"
8304,"You damn kids! You ring my bell
"
8305,"one more time and I swear--
"
8306,"Oh, Jill!
"
8307,"That's a game I play
"
8308,"with the kids down the hall.
"
8309,"They've really taken a liking to me.
"
8310,"What's the matter?
"
8311,"Rachel and I had a big fight.
"
8312,"Can I come in?
"
8313,"I know we're not supposed
"
8314,"to see each other anymore.
"
8315,"I don't know anybody in this city
"
8316,"and I need somebody to talk to.
"
8317,"Sure. What happened?
"
8318,"I don't want to talk about it.
"
8319,"Okay.
"
8320,"-You know what might cheer me up?
"
8321,"-What?
"
8322,"Seeing some more of your
"
8323,"super cool slides.
"
8324,"-Wow, really?
"
8325,"-Totally. I loved them.
"
8326,"You could finish telling me about
"
8327,"the different kinds of sand.
"
8328,"I'd love to. Wait right here, I'll go
"
8329,"get the projector and my notes.
"
8330,"Thanks. You're such a good friend.
"
8331,"Have you guys seen Jill?
"
8332,"I can't find her.
"
8333,"-No.
"
8334,"-Is Ross home?
"
8335,"Maybe I'll call him and see
"
8336,"if he's seen her--
"
8337,"Who is it?
"
8338,"It's Phoebe. . .
"
8339,". . . ""Phoebe! ""
"
8340,"Hey!
"
8341,"Oh, God!
"
8342,"So you're making porn movies.
"
8343,"No, I'm not.
"
8344,"We're still rolling!
"
8345,"You're making one right now!
"
8346,"Let's go, Phoebe.
"
8347,"And you're using my name.
"
8348,"Can I help you with something?
"
8349,"Phoebe, come on!
"
8350,"Look, I'm talking right now.
"
8351,"You mean her. Oh.
"
8352,"You know, twin stuff is always
"
8353,"a real big seller.
"
8354,"What?
"
8355,"I could talk them into giving you. . .
"
8356,". . .thirty dollars.
"
8357,"No! No way! No!
"
8358,"And stop using my name!
"
8359,"And shame on you!
"
8360,"And shame on all of you!
"
8361,"You're disgusting!
"
8362,"Especially you, with that!
"
8363,"The slides are almost ready.
"
8364,"Yeah.
"
8365,"I know what this is missing:
"
8366,"Alcohol.
"
8367,"There's wine in the kitchen.
"
8368,"Oh, great.
"
8369,"What is my sister doing there,
"
8370,"and why are the drapes shut?
"
8371,"Okay. Rach, calm down, okay?
"
8372,"She's really upset.
"
8373,"We're just talking.
"
8374,"She's making something happen
"
8375,"with you to get back at me.
"
8376,"That's the only reason
"
8377,"she could be here, huh?
"
8378,"It couldn't be that maybe
"
8379,"I'm a good listener. . .
"
8380,". . .and I put on a great slide show?
"
8381,"Ross, I am telling you,
"
8382,"she is using you to get back at me.
"
8383,"I think I can take care of myself.
"
8384,"I'll talk to you later. Goodbye.
"
8385,"That was your sister, actually.
"
8386,"She thinks you're just using me.
"
8387,"So?
"
8388,"-Hey.
"
8389,"-Hey.
"
8390,"I just came from the company
"
8391,"Ursula works for.
"
8392,"Oh, no, not you too?
"
8393,"I went to get Phoebe Buffay's checks.
"
8394,"There were a lot of them.
"
8395,"Nice!
"
8396,"And I won't have to
"
8397,"go back there anymore. . .
"
8398,". . .because I gave them
"
8399,"my ""correct address. ""
"
8400,"Isn't it gonna bother you
"
8401,"that people think you're a porn star?
"
8402,"Oh, no, I know how to handle it.
"
8403,"-Good.
"
8404,"-Yeah.
"
8405,"Trying to figure out how you know me?
"
8406,"I'll give you a hint. From porn!
"
8407,"Yeah, your pervert boyfriend
"
8408,"watched me in a porno movie!
"
8409,"-See?
"
8410,"-Yeah.
"
8411,"Hey.
"
8412,"You may have been right about Jill.
"
8413,"I knew it! What happened?
"
8414,"She kissed me.
"
8415,"What? You kissed?
"
8416,"Maybe we should
"
8417,"give them some privacy. . . .
"
8418,"Look, I tried not to kiss her, okay?
"
8419,"Doesn't sound like it.
"
8420,"It's easy not to kiss someone.
"
8421,"You just don't. Look at us
"
8422,"right now, not kissing!
"
8423,"Let me finish, okay?
"
8424,"She started kissing me. . .
"
8425,". . .and I didn't stop it.
"
8426,"I guess I just wasn't thinking.
"
8427,"Yeah. Let me give you
"
8428,"something to think about.
"
8429,"Hold on! But then I started
"
8430,"thinking and I stopped the kissing.
"
8431,"Thank you for taking your tongue out
"
8432,"of my sister's mouth to tell me that.
"
8433,"I realized if anything happened
"
8434,"with me and Jill. . .
"
8435,". . .then nothing could ever
"
8436,"happen with us.
"
8437,"-What?
"
8438,"-No, I mean. . . .
"
8439,"I don't know if anything
"
8440,"is ever going to happen with us. . .
"
8441,". . .again, ever.
"
8442,"But I don't want to know
"
8443,"that it never could.
"
8444,"So I stopped it. . .
"
8445,". . .and she got mad
"
8446,"and broke my projector.
"
8447,"Wow.
"
8448,"I don't even know what to say.
"
8449,"Thank you.
"
8450,"You're welcome.
"
8451,"My God, are you crying?
"
8452,"I just don't see why those two
"
8453,"can't work things out!
"
8454,"All right, I'm leaving.
"
8455,"I'm not spending one more day with
"
8456,"someone who's out to sabotage me.
"
8457,"That's you, Rachel.
"
8458,"Yeah, I got that.
"
8459,"And you! I throw myself at you. . .
"
8460,". . .and you say no? How gay are you?
"
8461,"You take care, Jill.
"
8462,"-Okay, see you.
"
8463,"-Bye-bye.
"
8464,"I can't believe Jill's gone.
"
8465,"I can't help it, I opened a gate!
"
8466,"<font color=""#ffff00"" size=14>www.tvsubtitles.net
"
8467,"Hey, you guys, guess what?
"
8468,"Barry and Mindy are getting a divorce.
"
8469,"What is the matter with you?
"
8470,"No. Barry and Mindy.
"
8471,"Oh, sorry. I hear ""divorce,""
"
8472,"I immediately go to Ross.
"
8473,"Who's Barry and Mindy?
"
8474,"Barry was the guy I almost married,
"
8475,"and Mindy was my best friend.
"
8476,"Wasn't he cheating on you with her?
"
8477,"That means he was falling
"
8478,"asleep on her instead of me.
"
8479,"Can you imagine if I'd married him?
"
8480,"How different would my life be?
"
8481,"I've always wondered
"
8482,"how different life would be. . .
"
8483,". . .if I'd never gotten divorced.
"
8484,"-Which time?
"
8485,"-The first time!
"
8486,"Imagine if Carol hadn't realized
"
8487,"she was a lesbian.
"
8488,"I can't.
"
8489,"I keep seeing it the good way.
"
8490,"I bet I'd still be doing my karate.
"
8491,"Towards the end of our marriage,
"
8492,"I did karate to release the tension. . .
"
8493,". . .from not doing anything
"
8494,"else physical.
"
8495,"Maybe the problem was
"
8496,"pronouncing it ka-ra-tay.
"
8497,"What if I was still fat?
"
8498,"You wouldn't be dating me,
"
8499,"that's for sure.
"
8500,"-Sure I would.
"
8501,"-Come on.
"
8502,"You think I'm that shallow?
"
8503,"I think Monica was that fat.
"
8504,"Hey, imagine if I'd never gotten fired
"
8505,"off Days of Our Lives.
"
8506,"Hey. Hey, there's Carol again.
"
8507,"What if I had had the guts
"
8508,"to quit my job?
"
8509,"I'd probably be writing for the New
"
8510,"Yorker, being paid to be funny.
"
8511,"But my job's fun too.
"
8512,"I mean, tomorrow. . .
"
8513,". . .I don't have to wear a tie.
"
8514,"What if I'd taken that job
"
8515,"at Merrill Lynch?
"
8516,"-What?
"
8517,"-Merrill Lynch?
"
8518,"A massage client who worked there
"
8519,"said I had a knack for stocks.
"
8520,"Why didn't you take it?
"
8521,"At that time, I thought everything
"
8522,"that rhymed was true.
"
8523,"I thought if I worked with stocks. . .
"
8524,". . .I'd have to live in a box
"
8525,"and only eat lox and have a pet fox.
"
8526,"Do you think if all those things
"
8527,"happened, we'd still hang out?
"
8528,"The One That Could Have Been
"
8529,"Part 1
"
8530,"English Subtitles by
"
8531,"Gelula/SDI
"
8532,"Oh, my God. Rachel Green?
"
8533,"Rob Tilman!
"
8534,"No, no, it's me. Ross.
"
8535,"Oh, I'm sorry. Ross Tilman.
"
8536,"-No. No, no. Ross Geller.
"
8537,"-Of course! Monica's brother.
"
8538,"-Yeah. Right.
"
8539,"-Wow! How are you?
"
